problem,mu,tau,feasible,no_aliasing,min_abs_tau_lambda,max_abs_tau_lambda,C_phys,C_bin,rotation_valid,max_grid_distance,operator_absolute_filter_error,operator_relative_filter_error,rhs_relative_filter_error,cost_proxy,target_met,selected,rejection_reason,parameter_selection_method
harmonic_oscillator,512,972.4734377830458,False,True,0.5,162.23417397658835,,,True,0.5,1576.5145813942772,0.8105694819738563,0.2666330703466361,165188096,False,False,zero_bin_separation,exact_spectral_benchmark_oracle
harmonic_oscillator,512,981.2595693439868,True,True,0.5045174146766264,163.69993205373274,,,True,0.49823742227087564,1565.5097077402572,0.804911294702897,0.2635036355481077,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,990.1250821042562,True,True,0.509075643423974,165.17893300497732,,,True,0.4950479126496816,1554.2235577524048,0.799108488400248,0.26005944890557287,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,999.0706932594428,True,True,0.5136750549902067,166.67129647742954,,,True,0.49951482849866835,1542.6514678711571,0.7931586652834189,0.25634389502811167,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1008.0971264848781,True,True,0.5183160214550661,168.17714319918858,,,True,0.4848894136817137,1530.7888419392325,0.787059462224995,0.25256877172742154,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1017.2051119941736,True,True,0.5229989182599696,169.69659498911082,,,True,0.49795378855961303,1518.631162088946,0.7808085563503819,0.24892873966756124,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1026.3953865982976,True,True,0.5277241242383843,171.2297747666655,,,True,0.49739563890411276,1506.1740002032593,0.7744036709305369,0.24542132917998005,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1035.6686937651793,True,True,0.532492021646473,172.7768065618783,,,True,0.4843874541421451,1493.413029964584,0.767842581576895,0.2418475045321243,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1045.0257836798532,True,True,0.5373029961940171,174.3378155253647,,,True,0.4844329506050258,1480.344039506187,0.7611231227461273,0.2380052316628939,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1054.4674133051503,True,True,0.5421574370756217,175.9129279384553,,,True,0.4968622796209914,1466.9629446775043,0.754243194560537,0.23389436536859132,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1063.9943464429284,True,True,0.5470557370021969,177.50227122341033,,,True,0.49772877658966763,1453.2658029374227,0.7472007699513328,0.22972956409735257,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1073.6073537958662,True,True,0.5519982922327298,179.10597395372866,,,True,0.4978063532920203,1439.2488278854453,0.739993902129867,0.22572812365919115,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1083.3072130298094,True,True,0.5569855026063396,180.72416586454878,,,True,0.4923576145350239,1424.9084044411566,0.7326207323922027,0.22187645547484097,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1093.0947088366809,True,True,0.5620177715746233,182.3569778631438,,,True,0.4964011490690723,1410.2411046815178,0.725079498261903,0.21792696753985674,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1102.970632997964,True,True,0.5670955062342955,184.00454203951224,,,True,0.4949496534394999,1395.2437043428313,0.7173685419745641,0.21365205105226318,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1112.9357844487502,True,True,0.572219117360119,185.66699167706273,,,True,0.4864734922919691,1379.9131999929566,0.7094863193069592,0.2090957553587251,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1122.9909693423733,True,True,0.5773890194381367,187.34446126339682,,,True,0.49866777923728023,1364.2468268791256,0.701431408753543,0.20454515960385045,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1133.1370011156248,True,True,0.5826056306992018,189.03708650118855,,,True,0.4997631299603711,1348.2420774522666,0.6932025210507873,0.20022781858048921,165188096,False,False,,exact_spectral_benchmark_oracle
