n_c,mu,tau,instance_count,rmse_mean,rmse_sample_std,rmse_standard_error,rmse_confidence_interval_95_low,rmse_confidence_interval_95_high,relative_solution_error_mean,normalized_residual_mean,no_aliasing_fraction,mean_grid_distance,max_grid_distance,confidence_interval_method,evaluation_method
5,32,0.1,20,1.7058297883800393,3.9604938073747693,0.8855933377756942,-0.14773837000823087,3.5593979467683097,0.9999957516171213,0.9999151350679953,1.0,0.044493156377868354,0.0990099009900991,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,1.0,20,1.6982990958475743,3.962556430682279,0.8860545543684508,-0.15623439996362776,3.5528325916587766,0.9865915913915737,0.7802662088914294,1.0,0.2506930521581907,0.4963724520753078,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,10.0,20,1.4603249859282141,4.024447416897914,0.899893799605717,-0.4231743830594419,3.34382435491587,0.624556899105821,0.2081564883266807,1.0,0.23001144181988073,0.4972780728306132,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,50.0,20,2.0596983066348282,3.9036108243642538,0.8728739160982464,0.23275220377561867,3.8866444094940378,1.6600512856429106,6.651347767787182,0.0,0.2617115367964958,0.49933518870138727,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,100.0,20,3.7367710530581144,3.740811328415091,0.8364708421337433,1.9860174596610145,5.487524646455214,4.180372369291383,17.736454169561046,0.0,0.2425779252332895,0.4964783904521539,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,200.0,20,6.7736132448091935,3.5034406197835635,0.7833931380970042,5.133952562713754,8.413273926904633,8.458129049224109,31.5305101881944,0.0,0.2470507869008356,0.49390912963048095,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,500.0,20,12.554071943236249,5.795886786969902,1.2959996845557542,9.841513428955475,15.266630457517023,18.282969024524967,49.3596614819066,0.0,0.241082943504979,0.49906720776611735,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,1000.0,20,26.586941943846774,10.306771990999723,2.304664280046623,21.763224168373586,31.410659719319963,37.484632308340636,153.40727891000253,0.0,0.24033032074460312,0.4988774413390331,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
5,32,10000.0,20,284.095158895055,165.50433486507032,37.00789433291857,206.63674585325555,361.5535719368545,392.77992824041576,1202.0414400466343,0.0,0.23060171800183332,0.49090865323978505,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,0.1,20,1.705829787710174,3.960493807564554,0.8855933378181313,-0.1477383707669182,3.559397946187266,0.9999957498906602,0.999915105974158,1.0,0.044493156377868354,0.0990099009900991,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,1.0,20,1.6982985532165362,3.9625565803251095,0.886054587829605,-0.15623501262966655,3.5528321190627388,0.9865905185836151,0.7802563482309386,1.0,0.2506930521581907,0.4963724520753078,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,10.0,20,1.460317262265904,4.024449994370775,0.8998943759461698,-0.4231833130161833,3.3438178375479914,0.6245416565479945,0.20809963431341347,1.0,0.23001144181988073,0.4972780728306132,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,50.0,20,1.2067789374035995,4.06008255350087,0.9078620583888872,-0.693398188888982,3.106956063696181,0.4282848721177202,1.7901303528566437,0.0,0.2617115367964958,0.49933518870138727,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,100.0,20,2.6720149066303915,3.9376367556183967,0.8804823456264461,0.8291441777523896,4.514885635508394,2.717408855562847,10.28138824783213,0.0,0.2425779252332895,0.4964783904521539,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
6,64,200.0,20,3.935222266499953,3.4029766507019406,0.7609287116814096,2.342580169260838,5.527864363739068,4.438438395074457,20.027398693175222,0.0,0.2470507869008356,0.49390912963048095,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
