instance_id,seed,generation_attempt,lambda_min,lambda_max,min_abs_lambda,condition_number,rmse,relative_solution_error,normalized_residual,mu,tau,no_aliasing,max_grid_distance,predicted_rhs_filter_relative_error,parameter_selection_method,selection_time_seconds,tn_time_median_seconds,reference_time_median_seconds,tn_preprocessing_U_included
0,12345,1,-0.9900990099009901,0.907766981689811,0.0372617128899091,26.571484054591604,0.003840132003273131,0.006342148681917188,0.005174201949425478,128,53.960418607174844,True,0.4936386742771752,0.006342148681908832,exact_spectral_benchmark_oracle,0.12417980001191609,0.01513460002024658,1.6600009985268116e-05,True
1,12345,1,-0.9900990099009901,0.792707348503386,0.013003435410092258,76.14134101304892,0.010376902282507476,0.006722874703563,0.003173212779080856,256,103.86152096099995,True,0.4960417950645706,0.006722874703607498,exact_spectral_benchmark_oracle,0.21493859999463893,0.024251700000604615,1.610000617802143e-05,True
2,12345,1,-0.9900990099009905,0.8638663449637669,0.052099153336329466,19.004128598968627,0.0031022697604309057,0.007243076414719453,0.008214668620385755,128,58.176000000000016,True,0.4971684289512588,0.0072430764146765225,exact_spectral_benchmark_oracle,0.17093009999371134,0.010103900014655665,1.920000067912042e-05,True
3,12345,1,-0.9900990099009901,0.9511220567349995,0.07175503268842602,13.798321494747107,0.0035516152121225003,0.006966163818602204,0.0037970451387109804,256,70.1976764745112,True,0.4973500252364431,0.0069661638185254966,exact_spectral_benchmark_oracle,0.22445510001853108,0.01597920001950115,1.9500002963468432e-05,True
4,12345,1,-0.965205047013532,0.9900990099009895,0.03480278753043121,28.44884218068041,0.0067575256301791115,0.0034841847425152255,0.008457081552477765,128,39.212932888070625,True,0.4163931494886661,0.0034841847425366077,exact_spectral_benchmark_oracle,0.220735999988392,0.01719969999976456,2.1500018192455173e-05,True
5,12345,1,-0.8035895069425968,0.9900990099009901,0.02867254975902822,34.53125090799552,0.006865036783108661,0.00988444929568337,0.0067051965571873935,128,46.862877866505386,True,0.45925908132348603,0.009884449295605226,exact_spectral_benchmark_oracle,0.23997070000041276,0.015408200008096173,1.8799997633323073e-05,True
6,12345,1,-0.9530614002818012,0.9900990099009909,0.01914293249774976,51.72138647082292,0.006701502506313547,0.005283036981177542,0.002827244410915732,512,232.704,True,0.4683968954601365,0.005283036980873063,exact_spectral_benchmark_oracle,0.2056649999867659,0.037390599987702444,2.1199986804276705e-05,True
7,12345,1,-0.9900990099009906,0.7808367725812521,0.005666329627804621,174.7337474054783,0.0036302674217984564,0.0035593596241145623,0.0024091147658580185,512,177.0198589039942,True,0.45814559707571334,0.0035593596240912975,exact_spectral_benchmark_oracle,0.18734539998695254,0.04899489998933859,2.0700012100860476e-05,True
8,12345,1,-0.9900990099009912,0.9447475571225692,0.02259965825049651,43.810353188824834,0.0033135150017481185,0.0056318607513131756,0.007920483842694476,128,44.29119222694715,True,0.419361734321992,0.005631860751334099,exact_spectral_benchmark_oracle,0.1822247999953106,0.0054145000176504254,1.960000372491777e-05,True
9,12345,1,-0.8623818826986377,0.9900990099009899,0.044097401475312555,22.452547696155882,0.005422657366832716,0.005486346679781759,0.004331680631844893,256,103.25630471104074,True,0.47520613499750297,0.005486346679838478,exact_spectral_benchmark_oracle,0.21061120001832023,0.018258700001752004,1.8799997633323073e-05,True
10,12345,1,-0.9900990099009912,0.7754984529116995,0.07867976638949155,12.583908866730297,0.0028333930039506077,0.009693299474607894,0.007941707936138465,128,39.09690326156945,True,0.37927352344388154,0.009693299474632211,exact_spectral_benchmark_oracle,0.16970330002368428,0.017147000005934387,2.7300004148855805e-05,True
